[10-02 15:00:23] Score: -100, Best Score: 44, Avg Score: -77.71875, Steps: 1
[10-02 15:00:32] Score: -59, Best Score: 44, Avg Score: -77.63555555555556, Steps: 42
[10-02 15:00:39] Score: -69, Best Score: 44, Avg Score: -77.59734513274336, Steps: 32
[10-02 15:00:46] Score: -72, Best Score: 44, Avg Score: -77.57268722466961, Steps: 29
[10-02 15:00:48] Score: -100, Best Score: 44, Avg Score: -77.67105263157895, Steps: 1
[10-02 15:00:52] Score: -89, Best Score: 44, Avg Score: -77.72052401746726, Steps: 12
[10-02 15:00:56] Score: -90, Best Score: 44, Avg Score: -77.77391304347826, Steps: 11
[10-02 15:01:02] Score: -75, Best Score: 44, Avg Score: -77.76190476190476, Steps: 26
[10-02 15:01:09] Score: -70, Best Score: 44, Avg Score: -77.72844827586206, Steps: 31
[10-02 15:01:16] Score: -70, Best Score: 44, Avg Score: -77.69527896995709, Steps: 31
[10-02 15:01:23] Score: -74, Best Score: 44, Avg Score: -77.67948717948718, Steps: 27
[10-02 15:01:33] Score: -48, Best Score: 44, Avg Score: -77.55319148936171, Steps: 53
[10-02 15:01:38] Score: -84, Best Score: 44, Avg Score: -77.58050847457628, Steps: 17
[10-02 15:01:42] Score: -90, Best Score: 44, Avg Score: -77.63291139240506, Steps: 11
[10-02 15:01:52] Score: -47, Best Score: 44, Avg Score: -77.50420168067227, Steps: 54
[10-02 15:01:59] Score: -68, Best Score: 44, Avg Score: -77.46443514644352, Steps: 33
[10-02 15:02:03] Score: -94, Best Score: 44, Avg Score: -77.53333333333333, Steps: 7
[10-02 15:02:05] Score: -99, Best Score: 44, Avg Score: -77.62240663900415, Steps: 2
[10-02 15:02:10] Score: -82, Best Score: 44, Avg Score: -77.64049586776859, Steps: 19
[10-02 15:02:13] Score: -100, Best Score: 44, Avg Score: -77.73251028806584, Steps: 1
[10-02 15:02:21] Score: -63, Best Score: 44, Avg Score: -77.67213114754098, Steps: 38
[10-02 15:02:32] Score: -41, Best Score: 44, Avg Score: -77.52244897959184, Steps: 60
[10-02 15:02:34] Score: -100, Best Score: 44, Avg Score: -77.61382113821138, Steps: 1
[10-02 15:02:39] Score: -82, Best Score: 44, Avg Score: -77.63157894736842, Steps: 19
[10-02 15:02:42] Score: -100, Best Score: 44, Avg Score: -77.72177419354838, Steps: 1
[10-02 15:02:47] Score: -80, Best Score: 44, Avg Score: -77.73092369477912, Steps: 21
[10-02 15:02:58] Score: -46, Best Score: 44, Avg Score: -77.604, Steps: 55
[10-02 15:03:00] Score: -100, Best Score: 44, Avg Score: -77.69322709163346, Steps: 1
[10-02 15:03:03] Score: -97, Best Score: 44, Avg Score: -77.76984126984127, Steps: 4
[10-02 15:03:07] Score: -95, Best Score: 44, Avg Score: -77.83794466403162, Steps: 6
[10-02 15:03:09] Score: -100, Best Score: 44, Avg Score: -77.9251968503937, Steps: 1
[10-02 15:03:21] Score: -38, Best Score: 44, Avg Score: -77.76862745098039, Steps: 63
[10-02 15:03:23] Score: -100, Best Score: 44, Avg Score: -77.85546875, Steps: 1
